"sq_candidato","Nome.Candidato","Cidade","UF","Cargo","Partido","Resultado_Eleitoral","Genero","Raca","Valor_Receita","Votos","ano"
260001908298,"BELIVALDO CHAGAS SILVA","Aracaju","SE","Vice-prefeito","PODE","Não Eleito","MASC.","BRANCA",NA,43932,2024
260001926363,"JOSÉ RICARDO MARQUES DOS SANTOS","Aracaju","SE","Vice-prefeito","CIDADANIA","Eleito","MASC.","BRANCA",NA,165924,2024
260001976733,"AYSLAN JORGE SANTOS DE ARAUJO","Aracaju","SE","Vice-prefeito","MDB","Não Eleito","MASC.","PRETA",NA,16769,2024
260002000359,"ROSANGELA SANTANA SANTOS","Aracaju","SE","Vice-prefeito","PT","Não Eleito","FEM.","PRETA",NA,28049,2024
260002060000,"FABIANO LUIS DE ALMEIDA OLIVEIRA","Aracaju","SE","Vice-prefeito","PP","Não Eleito","MASC.","BRANCA",NA,122842,2024
260002245400,"ALEXIS MAGNUM AZEVEDO DE JESUS","Aracaju","SE","Vice-prefeito","PSOL","Não Eleito","MASC.","PRETA",NA,14408,2024
260002263378,"LÂNIA MIRELLE SANTOS BARBOZA","Aracaju","SE","Vice-prefeito","NOVO","Não Eleito","FEM.","PRETA",NA,1569,2024
260002329042,"FELIPE VILANOVA DE GÓIS ANDRADE","Aracaju","SE","Prefeito","PCO","Não Eleito","MASC.","BRANCA",NA,84,2024
260002329043,"ARTHUR LOPES SANTANA LIMA","Aracaju","SE","Vice-prefeito","PCO","","MASC.","BRANCA",NA,NA,2024
260002397442,"NILVAN SILVA OLIVEIRA","Aracaju","SE","Vice-prefeito","PCO","Não Eleito","MASC.","BRANCA",NA,84,2024
260002263377,"JOSÉ PAULO LEÃO VELOSO SILVA","Aracaju","SE","Prefeito","NOVO","Não Eleito","MASC.","PARDA",1e+05,1569,2024
260002245401,"NIULLY NAYARA SANTANA CAMPOS","Aracaju","SE","Prefeito","PSOL","Não Eleito","FEM.","PARDA",420000,14408,2024
260002000358,"CANDISSE MATOS CORREIA CARVALHO SANTOS","Aracaju","SE","Prefeito","PT","Não Eleito","FEM.","BRANCA",1611000,28049,2024
260001976732,"DANIELLE GARCIA ALVES","Aracaju","SE","Prefeito","MDB","Não Eleito","FEM.","BRANCA",3835000,16769,2024
260001926362,"EMÍLIA CORRÊA SANTOS BEZERRA","Aracaju","SE","Prefeito","PL","2º Turno","FEM.","BRANCA",4e+06,126365,2024
260002060001,"LUIZ ROBERTO DANTAS DE SANTANA","Aracaju","SE","Prefeito","PDT","Não Eleito","MASC.","PARDA",4500000,122842,2024
260001908297,"YANDRA BARRETO FERREIRA","Aracaju","SE","Prefeito","UNIÃO","Não Eleito","FEM.","BRANCA",5211000,43932,2024
140001951565,"TATIANE CALABRIA COELHO","Belém","PA","Vice-prefeito","PL","Não Eleito","FEM.","BRANCA",NA,326411,2024
140002109918,"EDILSON MOURA DA SILVA","Belém","PA","Vice-prefeito","PT","Não Eleito","MASC.","PRETA",NA,78401,2024
140002181380,"CÁSSIO COELHO ANDRADE","Belém","PA","Vice-prefeito","MDB","Eleito","MASC.","PARDA",NA,421485,2024
140002182482,"ALINE DO SOCORRO LIMA KZAM","Belém","PA","Vice-prefeito","PODE","Não Eleito","FEM.","BRANCA",NA,36354,2024
140002183538,"ACILON HIMERCÍRIO BAPTISTA CAVALCANTE","Belém","PA","Vice-prefeito","NOVO","","MASC.","BRANCA",NA,NA,2024
140002183539,"ITALO NEVES ABATI","Belém","PA","Prefeito","NOVO","Não Eleito","MASC.","BRANCA",NA,4028,2024
140002223589,"GUALDINA MARIA MENEZES LEITE","Belém","PA","Vice-prefeito","UP","Não Eleito","FEM.","PRETA",NA,3450,2024
140002277710,"AIRTON LUIZ MORAES PALMERIM","Belém","PA","Vice-prefeito","PSTU","Não Eleito","MASC.","PARDA",NA,2053,2024
140002278834,"SHIRLEY HELENA ROLIM DE SOUZA ALVES","Belém","PA","Vice-prefeito","AGIR","Não Eleito","FEM.","PRETA",NA,62271,2024
140002337242,"FERNANDO BRUNO CARVALHO BARBOSA","Belém","PA","Vice-prefeito","PRTB","Não Eleito","MASC.","BRANCA",NA,2918,2024
140002396982,"BERNARDINO LOBATO GRECO","Belém","PA","Vice-prefeito","NOVO","Não Eleito","MASC.","BRANCA",NA,4028,2024
140002223590,"RAQUEL NONATO DE BRÍCIO","Belém","PA","Prefeito","UP","Não Eleito","FEM.","PRETA",24953.33,3450,2024
140002277709,"WELLINGTA JOSYANE SIQUEIRA MACEDO","Belém","PA","Prefeito","PSTU","Não Eleito","FEM.","PRETA",35800,2053,2024
140002337241,"EVERALDO JORGE MARTINS EGUCHI","Belém","PA","Prefeito","PRTB","Não Eleito","MASC.","PARDA",1e+05,2918,2024
140002181381,"IGOR WANDER CENTENO NORMANDO","Belém","PA","Prefeito","MDB","Eleito","MASC.","BRANCA",1830000,421485,2024
140002278835,"THIAGO ARAUJO","Belém","PA","Prefeito","REPUBLICANOS","Não Eleito","MASC.","BRANCA",1913014,62271,2024
140002182481,"JEFFERSON ELY VALE DE LIMA","Belém","PA","Prefeito","PODE","Não Eleito","MASC.","BRANCA",2002500,36354,2024
140002109917,"EDMILSON BRITO RODRIGUES","Belém","PA","Prefeito","PSOL","Não Eleito","MASC.","BRANCA",2084500,78401,2024
140001951566,"EDER MAURO CARDOSO BARRA","Belém","PA","Prefeito","PL","2º Turno","MASC.","PARDA",2542275.68,252455,2024
130001975611,"ÁLVARO DAMIÃO VIEIRA DA PAZ","Belo Horizonte","MG","Vice-prefeito","UNIÃO","Eleito","MASC.","BRANCA",NA,670574,2024
130001975892,"GERALDO NERES FRANCINO","Belo Horizonte","MG","Vice-prefeito","UP","Não Eleito","MASC.","BRANCA",NA,2462,2024
130002074701,"PAULO EDUARDO ROCHA BRANT","Belo Horizonte","MG","Vice-prefeito","PSB","Não Eleito","MASC.","BRANCA",NA,133728,2024
130002089522,"ANDREA CARLA FERREIRA","Belo Horizonte","MG","Vice-prefeito","PSTU","Não Eleito","FEM.","BRANCA",NA,667,2024
130002114858,"FRANCISCO AMORIM GONTIJO FOUREAUX","Belo Horizonte","MG","Vice-prefeito","PDT","Não Eleito","MASC.","BRANCA",NA,97315,2024
130002115617,"LUISA CARDOSO BARRETO","Belo Horizonte","MG","Vice-prefeito","NOVO","Não Eleito","FEM.","BRANCA",NA,192991,2024
130002150511,"RENATA ROSA VIANA COMINI","Belo Horizonte","MG","Vice-prefeito","PODE","Não Eleito","FEM.","PRETA",NA,12712,2024
130002172273,"ISABELLA GONÇALVES MIRANDA","Belo Horizonte","MG","Vice-prefeito","PSOL","Não Eleito","FEM.","BRANCA",NA,55393,2024
130002255953,"CLAUDIA ARAUJO ROMUALDO","Belo Horizonte","MG","Vice-prefeito","PL","Não Eleito","FEM.","BRANCA",NA,577537,2024
130002330165,"LOURDES FRANCISCO DA COSTA","Belo Horizonte","MG","Prefeito","PCO","Não Eleito","FEM.","BRANCA",NA,231,2024
130002330166,"MARÍLIA GARCIA DOMINGUES","Belo Horizonte","MG","Vice-prefeito","PCO","Não Eleito","FEM.","BRANCA",NA,231,2024
130001975891,"INDIRA IVANISE XAVIER","Belo Horizonte","MG","Prefeito","UP","Não Eleito","FEM.","PRETA",30413.29,2462,2024
130002089521,"WANDERSON PAIVA ROCHA","Belo Horizonte","MG","Prefeito","PSTU","Não Eleito","MASC.","PRETA",147000,667,2024
